5F07U100590;F;07;U;100590;65A; ; ; ; ; ; ;
5F08F100591;F;08;F;100591;76A; ; ; ; ; ; ;
5F07U100597;F;07;U;100597; ; ; ; ; ; ; ;
5F08F100598;F;08;F;100598;76A; ; ; ; ; ; ;
5F08F100599;F;08;F;100599;76A;M;85;11C;61;1;6;
5F07U100614;F;07;U;100614;65A; ; ;10C; ; ; ;
5F07U100619;F;07;U;100619;65A;M;85;12C;65;5;1;
5F08F100620;F;08;F;100620;76A;M;86;11C;73;1;6;
5F07U100623;F;07;U;100623;65A; ; ; ; ; ; ;
5F07U100640;F;07;U;100640;65A; ; ; ; ; ; ;
5F08F100703;F;08;F;100703;76A; ; ; ; ; ; ;
5F07U100746;F;07;U;100746;65A;M;85;13C;25;5;1;
5F08D100788;F;08;D;100788;76A;M;82;13C;34;1;6;
5F08F100804;F;08;F;100804;76A;M;49;13C;36;I;6;
5F07D100816;F;07;D;100816;65A; ; ; ; ; ; ;
5F07F100820;F;07;F;100820;65A;M;82;11C;42;1;1;
5F08F100828;F;08;F;100828;76A;H;82;13C;44;1;6;
5F07U100833;F;07;U;100833;65A;M;89;13C;44;5;1;
5F07U100845;F;07;U;100845;65A; ; ; ; ; ; ;
5F08D100866;F;08;D;100866;76A; ; ; ;61; ; ;
5F08D100867;F;08;D;100867;76A; ; ; ;61; ; ;
5F07D100895;F;07;D;100895;65A; ; ; ; ; ; ;
5F07U100897;F;07;U;100897;65A;M;85;13C;71;5;1;
5F08D100905;F;08;D;100905;76A;H;42;12C;71;2;6;
5F07U100960;F;07;U;100960;65A;J;26; ; ;2;1;
5F07U100991;F;07;U;100991;65A;A; ; ; ; ; ;
5F07D100992;F;07;D;100992;65A;M; ; ; ; ; ;
5F08F101069;F;08;F;101069;76A;Y;42;18C;26; ; ;
5F08F101109;F;08;F;101109;76A; ; ; ; ; ; ;
5F07U101140;F;07;U;101140;65A;M;85;15C; ;5;6;
5F08D101161;F;08;D;101161;76A;M;85;16C;34;1;6;
5F07U101169;F;07;U;101169;65A;J;86;18C;13;5;1;
5F08D101170;F;08;D;101170;76A;M;82;16C;34;1;6;
5F07U101176;F;07;U;101176; ; ; ;16C; ; ; ;
5F07F101189;F;07;F;101189;65A; ; ; ; ; ; ;
5F07U101201;F;07;U;101201;65A; ; ; ; ; ; ;
5F08F101202;F;08;F;101202;76A; ; ; ;44; ; ;
5F07F101218;F;07;F;101218;65A; ; ; ; ; ; ;
5F07U101219;F;07;U;101219;65A; ; ; ; ; ; ;
5F07U101220;F;07;U;101220;65A; ; ; ; ; ; ;
5F07U101221;F;07;U;101221;65A; ; ; ; ; ; ;
5F07U101238;F;07;U;101238;65A; ; ; ; ; ; ;
5F07U101262;F;07;U;101262;65A;M; ;16C;64;5;1;
5F08D101273;F;08;D;101273;76A; ; ; ; ; ; ;
5F07U101281;F;07;U;101281;65A;F;86; ; ; ;6;
5F08D101282;F;08;D;101282;76A;P;89;16C; ; ; ;
5F07U101383;F;07;U;101383;65A; ; ; ; ; ; ;
5F08D101420;F;08;D;101420;76A;M;82;17C;34;1;6;
5F07F101441;F;07;F;101441;65A; ; ; ; ; ; ;
5F07F101445;F;07;F;101445;65A; ; ; ; ; ; ;
5F07U101453;F;07;U;101453;65A; ; ; ; ; ; ;
5F07U101469;F;07;U;101469;65A;J;86; ; ;3;1;
5F07U101476;F;07;U;101476;65A; ; ; ; ; ; ;
5F07U101489;F;07;U;101489;65A; ; ; ; ; ; ;
5F07U101499;F;07;U;101499;65A;J;86;17C;55;5;1;
5F08D101531;F;08;D;101531;76A;M;45;17C;71;1;5;
5F07U101575;F;07;U;101575;65A;J;86; ; ;3;6;
5F07U101619;F;07;U;101619;65A;J;86;18C;13;5;1;
5F07F101640;F;07;F;101640;65A;J;45;18C;42;1;1;
5F08F101650;F;08;F;101650;76A;M;85;18C;22;1;6;
5F07U101651;F;07;U;101651;65A; ; ;18C; ; ; ;
5F08F101660;F;08;F;101660;76A;H;49;25C; ; ;6;
5F08F101695;F;08;F;101695;76A; ; ; ; ; ; ;
5F08F101715;F;08;F;101715;76A;J;45;18C;34;1;6;
5F07F101747;F;07;F;101747;65A; ; ; ; ; ; ;
5F07F101769;F;07;F;101769;65A; ; ; ; ; ; ;
5F07F101781;F;07;F;101781;65A; ; ; ; ; ; ;
5F07U101784;F;07;U;101784;65A; ; ; ; ; ; ;
5F07U101811;F;07;U;101811;65A; ; ; ; ; ; ;
5F07U101821;F;07;U;101821;65A;M;82;18C;61;5;1;
5F08D101875;F;08;D;101875;76A;P;89;18C;71;1;6;
5F07U101884;F;07;U;101884;65A; ;85; ; ;5;5;
5F08D101891;F;08;D;101891;76A; ; ; ; ; ; ;
5F08F101902;F;08;F;101902;76A;J; ; ; ; ; ;
5F08D101991;F;08;D;101991;76A;J;45;19C;21;1;6;
5F07U102041;F;07;U;102041;65A;M;82;19C; ;3;1;
5F07U102075;F;07;U;102075;65A;J;86;19C;31;5;1;
5F08F102124;F;08;F;102124;76A; ; ; ; ; ; ;
5F07U102129;F;07;U;102129;65A; ; ; ; ; ; ;
5F07U102133;F;07;U;102133;65A; ; ; ; ; ; ;
5F07F102139;F;07;F;102139;65A; ; ; ; ; ; ;
5F07U102148;F;07;U;102148;65A;M;85;19C;45;5;1;
5F08F102154;F;08;F;102154;76A;M;82;19C;51;1;6;
5F07F102161;F;07;F;102161;65A;J;85; ; ;1;6;
5F07U102187;F;07;U;102187;65A;J; ; ; ; ; ;
5F08F102205;F;08;F;102205;76A;P;89;16C;62;1;6;
5F08D102244;F;08;D;102244;76A;H;82;17C;72;1;6;
5F08F102255;F;08;F;102255;76A;Y;82;20C;55;1;6;
5F08D102285;F;08;D;102285;76A;J;85;17C;81;1;F;
5F07D102317;F;07;D;102317;65A;P;89;17C;81;1;F;
5F08F102356;F;08;F;102356;76A; ; ; ;41; ; ;
5F07U102412;F;07;U;102412;65A;J;85;20C; ;5;1;
5F07U102447;F;07;U;102447;65A; ; ; ; ; ; ;
5F07U102488;F;07;U;102488;65A; ; ;20C;24; ; ;
5F08F102510;F;08;F;102510;76A;K; ; ; ; ; ;
5F07U102515;F;07;U;102515;65A;M;85;20C;26;5;1;
5F08F102583;F;08;F;102583;76A; ; ; ; ; ; ;
5F07U102584;F;07;U;102584;65A; ; ;20C; ; ; ;
5F07U102624;F;07;U;102624;65A; ; ; ; ; ; ;
5F07U102628;F;07;U;102628;65A; ; ; ; ; ; ;
5F07U102630;F;07;U;102630;65A; ; ; ; ; ; ;
5F07U102634;F;07;U;102634;65A; ; ; ; ; ; ;
5F07U102657;F;07;U;102657;65A; ; ; ; ; ; ;
5F08F102667;F;08;F;102667;76A;M;82;20C;61;1;6;
5F07U102724;F;07;U;102724;65A;J;86; ; ;5;1;
5F08F102836;F;08;F;102836; ; ; ;23C; ; ; ;
5F07U102845;F;07;U;102845;65A;V;86;23C;14;1;5;
5F08F102857;F;08;F;102857;76A;H;82;23C;22;1;6;
5F07U102919;F;07;U;102919;65A;M;85;20C;36;5;1;
5F07U102933;F;07;U;102933;65A;X;86; ; ; ;6;
5F07U102938;F;07;U;102938;65A; ; ; ; ; ; ;
5F07U102940;F;07;U;102940;65A;M;85;20C;41;5;1;
5F08F102945;F;08;F;102945;76A;J;86; ; ;1;6;
5F07F102953;F;07;F;102953;65A;M;85;23C;42;1;1;
5F07U102963;F;07;U;102963;65A; ; ; ; ; ; ;
5F07F102976;F;07;F;102976;65A; ; ; ; ; ; ;
5F07F102989;F;07;F;102989;65A; ; ; ; ; ; ;
5F08D102990;F;08;D;102990;76A; ; ; ; ; ; ;
5F07U103003;F;07;U;103003;65A; ;46; ; ;5;1;
5F07U103006;F;07;U;103006;65A; ; ; ; ; ; ;
5F07F103010;F;07;F;103010;65A; ; ; ; ; ; ;
5F07U103011;F;07;U;103011;65A; ; ; ; ; ; ;
5F07U103017;F;07;U;103017;65A;V;86; ; ; ;6;
5F07F103030;F;07;F;103030;65A; ; ; ; ; ; ;
5F07U103042;F;07;U;103042;65A;A;46;23C;55;5;1;
5F07U103043;F;07;U;103043;65A; ; ; ; ; ; ;
5F07U103080;F;07;U;103080;65A;M;89; ; ; ; ;
5F08D103121;F;08;D;103121; ; ; ; ; ; ; ;
5F08F103125;F;08;F;103125;76A; ; ; ; ; ; ;
5F08F103127;F;08;F;103127;76A;V;86;23C;72;1;6;
5F07U103144;F;07;U;103144;65A; ; ; ; ; ; ;
5F07D103227;F;07;D;103227;65A;J;26;23C;72;1;6;
5F07F103247;F;07;F;103247;65A; ; ; ; ; ; ;
5F08F103254;F;08;F;103254;76A; ; ; ; ; ; ;
5F08F103277;F;08;F;103277;76A;A; ; ; ; ; ;
5F07F103294;F;07;F;103294;65A;X; ;24C; ; ; ;
5F08F103322;F;08;F;103322;76A;A;85;24C;13;1;6;
5F08D103342;F;08;D;103342;76A;J;86;24C;22;1;6;
5F08F103351;F;08;F;103351;76A;A;85;24C;23;1;6;
5F07U103429;F;07;U;103429;65A;A;46;24C;36;5;1;
5F07F103445;F;07;F;103445;65A; ; ; ; ; ; ;
5F07U103460;F;07;U;103460;65A; ; ; ; ; ; ;
5F07F103462;F;07;F;103462;65A; ; ; ; ; ; ;
5F07F103464;F;07;F;103464;65A; ; ; ; ; ; ;
5F08D103467;F;08;D;103467;76A; ; ; ; ; ; ;
5F07F103470;F;07;F;103470;65A; ; ; ; ; ; ;
5F07F103478;F;07;F;103478;65A;M;89;24C;44;6; ;
5F07U103488;F;07;U;103488;65A; ; ; ; ; ; ;
5F07U103489;F;07;U;103489;65A; ; ; ; ; ; ;
5F07U103515;F;07;U;103515;65A; ; ; ; ; ; ;
5F08F103516;F;08;F;103516;76A; ; ; ; ; ; ;
5F08F103529;F;08;F;103529;76A;M;82;23C;61;1;6;
5F08F103569;F;08;F;103569;76A;H; ; ; ; ; ;
5F07U103579;F;07;U;103579;65A;M;85;24C;64;5;1;
5F08D103604;F;08;D;103604;76A;P;89;24C;71;1;6;
5F08D103614;F;08;D;103614;76A;P;89;24C;71;1;6;
5F08D103616;F;08;D;103616;76A;H;82;24C;71;1;6;
5F07U103659;F;07;U;103659;65A;J;85;24D;75;5;1;
5F07U103685;F;07;U;103685;65A; ; ; ; ; ; ;
5F08F103692;F;08;F;103692;76A;M;85;24C;51;1;6;
5F07U103754;F;07;U;103754; ; ; ; ; ; ; ;
5F08F103758;F;08;F;103758;76A;J;45;25C;22;1;6;
5F07U103763;F;07;U;103763;65A; ; ; ; ; ; ;
5F07U103781;F;07;U;103781;65A; ; ; ; ; ; ;
5F07U103797;F;07;U;103797;65A; ; ; ; ; ; ;
5F07U103831;F;07;U;103831;65A; ; ; ; ; ; ;
5F07U103857;F;07;U;103857;65A; ; ; ; ; ; ;
5F07U103916;F;07;U;103916;65A; ; ; ; ; ; ;
5F07F103918;F;07;F;103918;65A; ; ; ; ; ; ;
5F07F103922;F;07;F;103922;65A; ; ; ; ; ; ;
5F08F103936;F;08;F;103936;76A; ; ; ; ; ; ;
5F08D104021;F;08;D;104021;76A;P;89;25C;71;1;6;
5F08D104031;F;08;D;104031;76A; ; ; ; ; ; ;
5F07U104042;F;07;U;104042;65A;S; ;25C; ; ; ;
5F08F104063;F;08;F;104063;76A;M; ; ; ; ; ;
5F07U104064;F;07;U;104064;65A; ; ; ; ; ; ;
5F07U104066;F;07;U;104066; ; ; ; ; ; ; ;
5F08F104181;F;08;F;104181;76A;A;85;25C;23;1;6;
5F08F104226;F;08;F;104226;76A; ; ;25C;26; ; ;
5F07U104239;F;07;U;104239;65A;A;86;26C;31;5;1;
5F07U104241;F;07;U;104241;65A;J;86; ; ; ;1;
5F08F104283;F;08;F;104283;76A;H;82; ; ;1;6;
5F07U104324;F;07;U;104324;65A; ; ; ; ; ; ;
5F07U104325;F;07;U;104325;65A; ; ; ; ; ; ;
5F07F104348;F;07;F;104348;65A; ; ; ; ; ; ;
5F07F104353;F;07;F;104353;65A; ; ; ; ; ; ;
5F07U104373;F;07;U;104373;65A; ; ; ; ; ; ;
5F07U104378;F;07;U;104378;65A; ; ; ; ; ; ;
5F07U104381;F;07;U;104381;65A; ; ; ; ; ; ;
5F07F104393;F;07;F;104393;65A; ; ; ; ; ; ;
5F07U104418;F;07;U;104418;65A; ; ; ; ; ; ;
5F08F104470;F;08;F;104470;76A; ; ; ; ; ; ;
5F07U104572;F;07;U;104572;65A;J; ; ; ; ; ;
5F07U104627;F;07;U;104627;65A; ; ; ; ; ; ;
5F07U104723;F;07;U;104723;65A;M;82;27C;24;5;1;
5F08F104780;F;08;F;104780; ; ; ; ; ; ; ;
5F08D104797;F;08;D;104797;76A;J;85;30C;33;1;6;
5F07U104825;F;07;U;104825; ; ; ;26C; ; ; ;
5F07U104827;F;07;U;104827;65A; ; ; ; ; ; ;
5F07F104831;F;07;F;104831;65A; ; ; ; ; ; ;
5F07U104845;F;07;U;104845;65A;M;89;27C;41;1; ;
5F08F104849;F;08;F;104849;76A; ; ; ;41; ; ;
5F07F104863;F;07;F;104863;65A; ; ; ; ; ; ;
5F07U104870;F;07;U;104870;65A; ; ; ; ; ; ;
5F07U104878;F;07;U;104878;65A; ; ; ; ; ; ;
5F07F104884;F;07;F;104884;65A; ; ; ; ; ; ;
5F07F104888;F;07;F;104888;65A; ; ; ; ; ; ;
5F07F104897;F;07;F;104897;65A; ; ; ; ; ; ;
5F07F104899;F;07;F;104899;65A;M;85;27C;44;1;1;
5F07U104915;F;07;U;104915;65A; ; ; ; ; ; ;
5F07U104919;F;07;U;104919;65A;J;45;27C;51;5;1;
5F07U104928;F;07;U;104928;65A; ; ; ; ; ; ;
5F07U104930;F;07;U;104930;65A; ; ; ; ; ; ;
5F07F104933;F;07;F;104933;65A; ; ; ; ; ; ;
5F07F104934;F;07;F;104934;65A; ; ; ; ; ; ;
5F07F104936;F;07;F;104936;65A; ; ; ; ; ; ;
5F07F104942;F;07;F;104942;65A; ; ; ; ; ; ;
5F07F104944;F;07;F;104944;65A; ; ; ; ; ; ;
5F07U104945;F;07;U;104945;65A; ; ; ; ; ; ;
5F07U104946;F;07;U;104946;65A; ; ; ; ; ; ;
5F07U104984;F;07;U;104984;65A;J;86;27C;55;5;1;
5F07U104999;F;07;U;104999;65A;J;85;27C;61;5;1;
5F07U105009;F;07;U;105009;65A;M;89;27C;62;5;1;
5F08F105030;F;08;F;105030;76A; ; ;26C;63; ; ;
5F07U105036;F;07;U;105036;65A; ; ; ; ; ; ;
5F07U105055;F;07;U;105055;65A; ;86; ; ; ;6;
5F08F105070;F;08;F;105070;76A; ; ; ; ; ; ;
5F08D105071;F;08;D;105071;76A; ; ; ; ; ; ;
5F07F105083;F;07;F;105083;65A; ; ; ; ; ; ;
5F07U105097;F;07;U;105097;65A;J;86;27C; ;5;1;
5F07U105098;F;07;U;105098;65A; ;86; ; ; ;5;
5F07F105107;F;07;F;105107;65A;J;85;27C;75;1;6;
5F07F105159;F;07;F;105159;65A;A;46;26C;81;1;F;
5F08F105270;F;08;F;105270;76A;J;86; ; ;1;6;
5F08F105320;F;08;F;105320;76A;J;45; ; ;1;6;
5F08D105328;F;08;D;105328;76A;A;46;03D;33;1;6;
5F08F105359;F;08;F;105359;76A;J; ; ; ; ; ;
5F08F105364;F;08;F;105364;76A;J; ; ; ; ; ;
5F07F105373;F;07;F;105373;65A;J;85; ; ;1;6;
5F07F105389;F;07;F;105389;65A; ; ; ; ; ; ;
5F07F105391;F;07;F;105391;65A; ; ; ; ; ; ;
5F07F105392;F;07;F;105392;65A; ; ; ; ; ; ;
5F07F105394;F;07;F;105394;65A; ; ; ; ; ; ;
5F07F105397;F;07;F;105397;65A; ; ; ; ; ; ;
5F07F105403;F;07;F;105403;65A; ; ; ; ; ; ;
5F07F105406;F;07;F;105406;65A; ; ; ; ; ; ;
5F07F105409;F;07;F;105409;65A; ; ; ; ; ; ;
5F07F105421;F;07;F;105421;65A; ; ; ; ; ; ;
5F07F105430;F;07;F;105430;65A; ; ; ; ; ; ;
5F07F105435;F;07;F;105435;65A; ; ; ; ; ; ;
5F07F105447;F;07;F;105447;65A;M;85;31C;44;1;6;
5F07F105449;F;07;F;105449;65A; ; ; ; ; ; ;
5F07F105459;F;07;F;105459;65A; ; ; ; ; ; ;
5F07U105494;F;07;U;105494;65A; ; ; ; ; ; ;
5F07U105495;F;07;U;105495;65A; ; ; ; ; ; ;
5F07U105497;F;07;U;105497;65A; ; ; ; ; ; ;
5F07U105500;F;07;U;105500;65A; ; ; ; ; ; ;
5F07U105510;F;07;U;105510;65A; ; ; ; ; ; ;
5F07U105517;F;07;U;105517;65A; ; ; ; ; ; ;
5F07F105518;F;07;F;105518;65A; ; ; ; ; ; ;
5F07F105519;F;07;F;105519;65A; ; ; ; ; ; ;
5F07U105520;F;07;U;105520;65A;M;85;30C;52;5;1;
5F07F105521;F;07;F;105521;65A; ; ; ; ; ; ;
5F07U105530;F;07;U;105530;65A; ; ; ; ; ; ;
5F07F105538;F;07;F;105538;65A; ; ; ; ; ; ;
5F07U105539;F;07;U;105539;65A; ; ; ; ; ; ;
5F07U105551;F;07;U;105551;65A;A;46;30C;72;5;1;
5F07U105577;F;07;U;105577;65A;M;82;30C;61;5;1;
5F08F105620;F;08;F;105620;76A; ; ;30C;64; ; ;
5F07U105885;F;07;U;105885;65A;A;85;31C;36;5;1;
5F07D105927;F;07;D;105927;65A; ; ; ; ; ; ;
5F07F105928;F;07;F;105928;65A; ; ; ; ; ; ;
5F07F105929;F;07;F;105929;65A; ; ; ; ; ; ;
5F07F105933;F;07;F;105933;65A;A;85;31C; ;1;6;
5F07F105934;F;07;F;105934;65A; ; ; ; ; ; ;
5F07F105935;F;07;F;105935;65A; ; ; ; ; ; ;
5F07F105939;F;07;F;105939;65A; ; ; ; ; ; ;
5F07U105948;F;07;U;105948;65A; ; ; ; ; ; ;
5F07U105958;F;07;U;105958;65A; ; ; ; ; ; ;
5F07F105960;F;07;F;105960;65A; ; ; ; ; ; ;
5F07U105961;F;07;U;105961;65A; ; ; ; ; ; ;
5F07U105981;F;07;U;105981;65A; ; ; ; ; ; ;
5F07U105982;F;07;U;105982;65A; ; ; ; ; ; ;
5F07U105984;F;07;U;105984;65A; ; ; ; ; ; ;
5F07U105985;F;07;U;105985;65A; ; ; ; ; ; ;
5F07U105990;F;07;U;105990;65A; ; ; ; ; ; ;
5F08D106000;F;08;D;106000;76A;Y;82; ; ;1;5;
5F08D106001;F;08;D;106001;76A;A;85;31C;61;1;5;
5F08D106016;F;08;D;106016;76A;J;45;31C; ;1;5;
5F08D106017;F;08;D;106017; ; ; ; ; ; ; ;
5F07F106040;F;07;F;106040;65A;J;85;31C; ;1;6;
5F07U106067;F;07;U;106067;65A; ; ; ; ; ; ;
5F07F106094;F;07;F;106094;65A; ; ; ; ; ; ;
5F07F106100;F;07;F;106100;65A;J;46; ;71;1;6;
5F07F106106;F;07;F;106106;65A;3;46; ; ;1;6;
5F07F106136;F;07;F;106136;65A; ; ; ; ; ; ;
5F07D106150;F;07;D;106150;65A;X;86; ; ;1;6;
5F07U106161;F;07;U;106161;65A;X;86; ; ;3;1;
5F07U106174;F;07;U;106174;65A;J;86;31C;72;5;1;
5F07U106178;F;07;U;106178;65A;J;86;31C;72;1;1;
5F07U106190;F;07;U;106190;65A;M;85;31C;72;5;1;
5F08F106191;F;08;F;106191;76A;S;86;31G;72;1;6;
5F07U106193;F;07;U;106193;65A;F;42;31C;73;5;1;
5F07F106243;F;07;F;106243;65A; ; ; ; ; ; ;
5F08F106276;F;08;F;106276;76A;A;86;01D;11;1;6;
5F08F106321;F;08;F;106321;76A;M;85;01D;13;1;6;
5F08F106332;F;08;F;106332;76A;V; ; ; ; ; ;
5F08F106343;F;08;F;106343;76A;3;26; ; ; ;6;
5F08F106348;F;08;F;106348;76A; ; ;01D; ; ; ;
5F07U106364;F;07;U;106364;65A;M;85; ; ;5;1;
5F08D106366;F;08;D;106366;76A; ; ; ; ; ; ;
5F08D106367;F;08;D;106367;76A;J;86;01D;23;1;6;
5F08D106370;F;08;D;106370;76A;J;86;01D; ;1;6;
5F08F106420;F;08;F;106420;76A; ; ;01D;34; ; ;
5F08D106448;F;08;D;106448;76A; ; ; ; ; ; ;
5F07F106465;F;07;F;106465;65A;J;45; ; ;1;6;
5F07F106483;F;07;F;106483;65A; ; ; ; ; ; ;
5F07F106488;F;07;F;106488;65A; ; ; ; ; ; ;
5F07F106489;F;07;F;106489;65A;J; ; ; ; ; ;
5F08D106491;F;08;D;106491;76A;M;85;01D; ;1;5;
5F07U106492;F;07;U;106492;65A; ; ; ; ; ; ;
5F08F106499;F;08;F;106499;76A; ; ; ;51; ; ;
5F07F106501;F;07;F;106501;65A; ; ; ; ; ; ;
5F07U106502;F;07;U;106502;65A; ; ; ; ; ; ;
5F07F106505;F;07;F;106505;65A; ; ; ; ; ; ;
5F07F106515;F;07;F;106515;65A; ; ; ; ; ; ;
5F07F106529;F;07;F;106529;65A; ; ; ; ; ; ;
5F07F106535;F;07;F;106535;65A; ; ; ; ; ; ;
5F07F106536;F;07;F;106536;65A; ; ; ; ; ; ;
5F08D106542;F;08;D;106542;76A; ; ; ; ; ; ;
5F07U106624;F;07;U;106624; ; ; ;01D; ; ; ;
5F07F106642;F;07;F;106642;65A;J;85;01D;71;1;6;
5F07F106660;F;07;F;106660;65A;3;46;01D;71;1;6;
5F08D106671;F;08;D;106671;76A;H;42;01D;71;1;5;
5F07D106691;F;07;D;106691;65A;J;86;01D;72;1;5;
5F07F106722;F;07;F;106722;65A;M;86;01D;72;1;6;
5F07U106734;F;07;U;106734;65A; ; ; ; ; ; ;
5F07D106747;F;07;D;106747;65A;J;85; ; ;1;6;
5F08F106749;F;08;F;106749;76A;J;85;01D;75;1;6;
5F07F106754;F;07;F;106754;65A;J;85;01D;75;1;6;
5F07F106755;F;07;F;106755;65A;M;45;01D; ;1;6;
5F08F106774;F;08;F;106774;76A;J;85;31C;81;1; ;
5F07D106845;F;07;D;106845;65A;M;49;02D;13;1;6;
5F08F106848;F;08;F;106848;76A; ; ; ; ; ; ;
5F08F106863;F;08;F;106863;76A; ; ; ; ; ; ;
5F08D107039;F;08;D;107039;76A;A;46;02D;33;1;6;
5F07U107105;F;07;U;107105;65A; ; ; ; ; ; ;
5F07D107113;F;07;D;107113;65A; ; ; ; ; ; ;
5F08F107115;F;08;F;107115;76A;J;45;02D;43;1;6;
5F08F107116;F;08;F;107116;76A; ; ; ; ; ; ;
5F08D107117;F;08;D;107117;76A; ; ; ; ; ; ;
5F07F107119;F;07;F;107119;65A; ; ; ; ; ; ;
5F07F107120;F;07;F;107120;65A; ; ; ; ; ; ;
5F07F107122;F;07;F;107122;65A; ; ; ; ; ; ;
5F07F107127;F;07;F;107127;65A; ; ; ; ; ; ;
5F07F107128;F;07;F;107128;65A; ; ; ; ; ; ;
5F07F107133;F;07;F;107133;65A; ; ; ; ; ; ;
5F07F107135;F;07;F;107135;65A; ; ; ; ; ; ;
