5707A682557;7;07;A;682557; ; ; ; ; ; ; ;
5F08F100001;F;08;F;100001;76A;M;86;05C;81;5;F;
5F07U100002;F;07;U;100002;65A;H;82;05C;81;5;A;
5F08F100003;F;08;F;100003;76A;A;85;05C;840027;1;6;
5F08F100004;F;08;F;100004;76A;A;85;05C;840027;1;6;
5F08F100005;F;08;F;100005;76A;A;85;05C;840027;1;6;
5F08F100006;F;08;F;100006;76A;M;85;05C;840027;1;6;
5F08F100007;F;08;F;100007;76A;M;85;05C;840027;1;6;
5F08F100008;F;08;F;100008;76A;M;85;05C;840027;1;6;
5F08F100009;F;08;F;100009;76A;F;82;05C;840027;1;6;
5F08F100010;F;08;F;100010;76A;F;82;05C;840027;1;6;
5F08F100011;F;08;F;100011;76A;F;82;05C;840027;1;6;
5F08F100012;F;08;F;100012;76A;J;86;05C;840027;1;6;
5F08F100013;F;08;F;100013;76A;J;86;05C;840027;1;6;
5F08F100014;F;08;F;100014;76A;J;86;05C;840027;1;6;
5F07F100022;F;07;F;100022;65A;J;86;05C;840027;1;6;
5F07F100023;F;07;F;100023;65A;J;86;05C;840027;1;6;
5F07F100024;F;07;F;100024;65A;J;86;05C;840027;1;6;
5F07F100025;F;07;F;100025;65A; ; ;05C; ; ; ;
5F07F100026;F;07;F;100026;65A; ; ;05C; ; ; ;
5F07F100027;F;07;F;100027;65A; ; ;05C; ; ; ;
5F07F100028;F;07;F;100028;65A; ; ;05C; ; ; ;
5F07F100029;F;07;F;100029;65A; ; ;05C; ; ; ;
5F07F100030;F;07;F;100030;65A; ; ;05C; ; ; ;
5F07F100031;F;07;F;100031;65A; ; ;05C; ; ; ;
5F07F100033;F;07;F;100033;65A; ; ;05C; ; ; ;
5F07F100034;F;07;F;100034;65A; ; ;05C; ; ; ;
5F08F100036;F;08;F;100036;76A; ; ;05C; ; ; ;
5F07F100037;F;07;F;100037;65A;M;26;05C;89;6;6;
5F08F100045;F;08;F;100045;76A; ; ;05C; ; ; ;
5F07F100055;F;07;F;100055;65A; ; ;05C; ; ; ;
5F07F100078;F;07;F;100078;65A;J;26;05C;89;6;6;
5F08F100093;F;08;F;100093;76A;3;86;05C;21;2;W;
5F07U100111;F;07;U;100111;65A; ; ; ; ; ; ;
5F08F100122;F;08;F;100122;76A;J;86;05C;89;1;6;
5F07D100125;F;07;D;100125;65A;M;86;05C; ;1;6;
5F08F100129;F;08;F;100129;76A;J;86;05C;21;1;6;
5F08F100140;F;08;F;100140;76A;J;86;05C;89;1;6;
5F08F100145;F;08;F;100145;76A;3;86;05C;89;1;6;
5F07K100148;F;07;K;100148;65A;A;86;05C;89;6;5;
5F07U100155;F;07;U;100155;65A; ; ;05C;91; ; ;
5F07U100162;F;07;U;100162;65A;M;86;05C;91;5;5;
5F08F100169;F;08;F;100169;76A;J;86;05C;91;1;6;
5F08F100173;F;08;F;100173;76A; ; ;05C;91; ; ;
5F08F100177;F;08;F;100177;76A;M;86;05C;91;6;1;
5F07D100192;F;07;D;100192;65A; ; ; ; ; ; ;
5F07U100211;F;07;U;100211;65A;M;85;09C;22;5;1;
5F08F100212;F;08;F;100212;76A;M;82;09C;24;1;6;
5F07U100224;F;07;U;100224;65A; ; ; ; ; ; ;
5F07U100227;F;07;U;100227;65A;J;85;09C;61;5;1;
5F07U100239;F;07;U;100239;65A;M;85;09C;75;5;1;
5F08F100240;F;08;F;100240;76A; ;82;09C;89;5;1;
5F08F100241;F;08;F;100241;76A;M;82;09C;89;5;1;
5F08F100242;F;08;F;100242;76A; ;82;09C;89;5;1;
5F08F100255;F;08;F;100255; ; ; ; ; ; ; ;
5F07U100270;F;07;U;100270;65A;Y;82;10C;15;5; ;
5F07U100280;F;07;U;100280; ; ; ; ; ; ; ;
5F08D100301;F;08;D;100301;76A;M; ; ;34; ; ;
5F07U100318;F;07;U;100318;65A; ; ; ; ; ; ;
5F07U100319;F;07;U;100319;65A; ; ; ; ; ; ;
5F07U100320;F;07;U;100320;65A; ; ; ; ; ; ;
5F07U100328;F;07;U;100328;65A;M;86;09C;55;5;1;
5F08D100392;F;08;D;100392;76A;H;82;12C;13;1;6;
5F08D100406;F;08;D;100406;76A; ; ;12C;15;1;6;
5F07U100460;F;07;U;100460;65A;M; ; ; ; ; ;
5F08U100465;F;08;U;100465;76A;J;45;10C;25;5;6;
5F07U100535;F;07;U;100535;65A; ; ; ; ; ; ;
5F07U100554;F;07;U;100554;65A; ; ; ; ; ; ;
5F08F100559;F;08;F;100559;76A;H;82;12C;51;1;6;
5F07U100563;F;07;U;100563;65A; ; ; ; ; ; ;
5F07U100567;F;07;U;100567;65A; ; ; ; ; ; ;
5F07U100575;F;07;U;100575;65A; ; ; ; ; ; ;
5F07U100576;F;07;U;100576;65A;M;86;11C;53;5;1;
